profile_name,zstar,Csurf,Cmin,Zmin,Cdeep,r2,rmse,pcterr,npoints,Cmeasure
NCC 1,36.61823198365448,3.044022736082753,0.89,55.61690985261055,0.6778670304600544,0.95498010255921,0.35908869211562483,-0.04328260083475031,3.0,OC
NCC 2,29.21775624769137,3.91,1.7,24.335735730396273,1.7,1.0,0.0,0.0,3.0,OC
NCC 3,31.24428826340405,2.99,1.22,28.008083891182306,1.2200000000000006,0.9999999999999998,7.021666937153402e-16,1.4199573760528514e-16,3.0,OC
NCC 4,41.16641544619729,2.98,0.86,51.15940596208851,0.8600000000000001,0.9999999999999996,4.577566798522237e-16,-2.848004987710116e-17,3.0,OC
NCC 5,52.36761071168466,6.255956227205259,2.0,80.36089868431769,2.1886096918554077,0.9815198342111359,0.4127198419102165,0.019688216072361993,3.0,OC
NMJ 1,2381.244413631175,5.806242021450991,5.63,42.439004927720084,5.717921867487783,0.03944124064964451,0.3161685039190587,0.0009811422896523387,3.0,OC
NMJ 2,-39.66747137272448,2.93,2.93,11.445451909090128,3.9100000001502875,0.9804001633319721,0.1131370849898477,0.0002792010743841109,3.0,OC
NMJ 3,-21.484677941274374,2.09,2.09,16.333175164925578,4.47,1.0,0.0,0.0,3.0,OC
NMJ 4,132.1147862984889,0.8275080255151168,0.5,-50.561368845689714,1.2133333414263554,,1.1603735030871167,0.39323323884147804,3.0,OC
NMJ 5,-23.629661419078936,2.61,2.61,3.950913322001348,3.085,0.4807692307692307,0.40305086527633227,0.005738660449342949,3.0,OC
NMJ 6,80.50838339780209,5.42412666244747,2.04,94.80410008862243,2.574339253629944,0.8716849539039264,0.8571681643154417,0.0325101507387437,4.0,OC
SRS 5,-58.99803642716367,11.486453769032972,10.0,24.955656322337727,12.933442833615976,0.1324010483377738,2.7676195920243933,0.017560738729985547,3.0,OC
SRS 6,-1898.9106738267637,9.024402150482834,8.8,11.872961723603957,9.072051605994826,0.0062400284565607205,0.45682567743197505,0.0006290529326521176,4.0,OC
00MS01,143.76539200623856,1.0492186936205954,0.33,146.76482404653086,0.48987168466209574,0.18325128869951074,1.0325314773797345,0.3170951644418037,6.0,Ctot
00MS02,108.295082597191,1.0380127006019881,0.29,140.09631792568254,0.3139571350437529,0.4529044664167531,0.7308485746325102,0.1517510698052087,7.0,Ctot
00MS03,-878.2298111318416,0.4899642792953503,0.21,-164.54712269151352,0.4062506072878851,,0.42613084845262067,0.1473336265706965,8.0,Ctot
00P0074,14.366730986823281,1.05,0.38,11.20832777405005,0.48125001170178555,0.8421675670398329,0.23213681310813478,0.02638752953400813,9.0,Ctot
00P0116,42.292330815364586,0.9133620861643079,0.03,84.45147566796805,0.12400000013587999,0.914916541388418,0.23887449210478762,0.6199831646619152,9.0,Ctot
00P0122,18.48638177660825,0.4785920112878285,0.01,63.15462427272626,0.015714285732802955,0.986330450901849,0.0545426835746402,0.17482756600255286,11.0,Ctot
00P0123,4.536899078866787,4.18,0.02,18.284374127334402,0.07428571428573207,0.9990293641466802,0.11988089327089856,0.4035193201862704,9.0,Ctot
00P0231,11.624252301975755,4.42,0.13,40.552601351433914,0.13500000000000004,0.9999960225521294,0.007071067811865481,0.0006868131868132902,4.0,Ctot
00P0232,47.587041924408865,10.993123150723788,0.29,111.6309698068317,4.547950541278546,0.06602318050012108,25.550169703718776,6.567804353065483,5.0,Ctot
00P0262,57.73088796750541,0.95,0.53,22.984034794059607,0.638000000000011,0.4511679644048944,0.31413372948475304,0.0331753966974242,6.0,Ctot
00P0386,3245.1705643369028,1.6430464429738647,1.01,-60.567477296563666,1.6740000247497435,,1.7543203812302943,0.1262180308419424,10.0,Ctot
00P0394,308.62813097167395,2.9197447280970845,1.64,238.94457281974286,1.8222190994467187,0.7227960269112786,0.6775152279580805,0.008525265777997457,9.0,Ctot
00P0417,81.96106559549841,0.16,0.07,42.725962622654244,0.09500010284582175,0.6926229508196726,0.03535533905962654,0.049603950028021086,3.0,Ctot
00P0424,159.6436873534905,0.14,0.1,53.71566854628658,0.1,0.9999999999999996,1.3877787807814457e-17,4.20539024479226e-17,3.0,Ctot
00P0432,96.54084233347643,0.10923824199596592,0.07,35.499998371015224,0.07562683686749139,0.9423076923076927,0.007167016406678776,0.006264590633667191,3.0,Ctot
00P0435,-113.76720289550018,0.05,0.05,20.74221354400248,0.060000000000000636,0.25,0.014142135623730954,0.01904761904762627,3.0,Ctot
00P0483,115.92786428767967,1.2913826445833079,0.5,101.07745862583909,0.540000000131286,0.9784582400289006,0.10380928238375767,-0.00045006013367966435,6.0,Ctot
00P0484,127.7250660241665,1.3963766873893328,0.43,133.75760891471538,0.49000000001897037,0.9481580210183012,0.1928828821956595,0.0037357502896151426,6.0,Ctot
00P0485,118.2012006858731,1.454865261457734,0.09,234.55269455302056,0.2000000007711642,0.910319326122357,0.4484670233683269,0.11590497629901408,11.0,Ctot
00P0486,120.46051959287824,1.5986688530549293,0.08,231.19712751154225,0.23454545461910267,0.955891822080567,0.388562371932559,0.11187876174004484,19.0,Ctot
00P0487,127.95457740421793,1.0901111080914756,0.44,106.99999657879329,0.4723879997828728,0.906763695789378,0.19773740243697646,0.008672004630495769,6.0,Ctot
00P0488,82.45260410900366,1.541221329566931,0.39,106.54282766668335,0.4233333337355359,0.953134576457719,0.2504008848868804,-0.00566762618673267,7.0,Ctot
00P0489,98.1942899761606,1.3193792656076127,0.48,93.9781536156074,0.506666667647092,0.9551028871434862,0.17448842151509697,0.0015840119888222842,6.0,Ctot
00P0490,119.36579589663121,1.491111059887701,0.39,157.0629766732513,0.40000000001646874,0.9936652359778362,0.08601615109252903,-0.0030707652778501513,7.0,Ctot
00P0491,158.9922670562541,1.290919992825071,0.4,168.99992281889845,0.4459318436448875,0.9302365284002537,0.23839169072263014,0.017308884468568868,8.0,Ctot
00P0492,111.28384440283608,1.5439448059589278,0.41,131.00000281383188,0.4757659279227851,0.9838926622133456,0.13779515060785957,0.013853200641926945,6.0,Ctot
00P0493,135.9157389849372,1.0241549431495267,0.37,129.4919997086566,0.395000000119767,0.8184414075959644,0.2911766289198618,0.007052487830852264,7.0,Ctot
00P0857,5.416942186004873,2.64,0.02,18.50679259351197,0.08666666666669864,0.9937924437218096,0.1869046102516825,0.7778829966335603,8.0,Ctot
00P0858,6.061795832042998,2.21000000015681,0.03,19.539659257005404,0.08799999981351228,0.9929507503699007,0.16334013591276333,0.44037266837066324,7.0,Ctot
00P0859,6.020433652352839,13.1,0.1,24.695863603680912,0.21666666666666656,0.9998338105042593,0.14445299120013633,0.14942528735632138,5.0,Ctot
00P0931,14.133609276893397,2.86,0.2,14.667605462641372,1.0131250000000003,0.379543233535766,2.290970045635691,0.5008589790946402,18.0,Ctot
00P0956,18.39392246388768,5.03,1.71,14.265929402173633,2.316000000115924,0.8824927095888384,0.9040575202939247,0.027402059272945156,6.0,Ctot
00P0959,23.496194342908776,12.889308252857127,0.83,64.44366373362816,0.8300000000001329,0.9877211876486217,1.1053995263869383,0.022188308504044876,5.0,Ctot
00P0965,15.20858437645658,7.5206788540627185,0.56,56.06356254935569,0.5244981731932593,0.9999517584373367,0.04210534739026124,-0.0199379647773687,3.0,Ctot
00P0978,40.929211387286664,0.21,0.06,51.27460035571166,0.06,1.0,0.0,0.0,4.0,Ctot
00P0979,20.029099888056567,0.70038789818132,0.02,63.10041616551202,0.030000000000001754,0.9993350181735599,0.014809709800476235,0.060690635200447964,5.0,Ctot
00P1178,9.13303914862031,1.08,0.04,22.694749713180144,0.09000000000000595,0.9954296160877514,0.06,0.16000000000006315,5.0,Ctot
00P1195,10.476074156815072,10.45,0.13,38.830396799080994,0.2566666666668061,0.9996365161843668,0.17048949136725894,0.1237339904010502,5.0,Ctot
00P1361,143.30893567915126,1.4715162359040888,0.6,102.4368528685468,0.720000001007719,0.6553766242015435,0.5093843526329584,0.02849411033777007,6.0,Ctot
00SB01,39.592413015607214,1.2817086714440251,0.32,51.0163076098844,0.35333333336470535,0.9848411464768065,0.10271456350112278,-0.0025741130109646856,6.0,Ctot
01N0363,13.225798287962752,4.4,0.36,27.365572407357966,0.5557142857142856,0.9875917098068582,0.4056740422696879,0.06297544673032557,9.0,Ctot
01N0364,12.03176978897858,2.25,0.69,12.21823072099859,0.8150000000017434,0.9699374039095099,0.23398717913595182,0.010824664509782877,8.0,Ctot
01N0517,657.0770790549183,1.6217039529196235,0.07,-189.757458360423,2.1646694612248982,,8.153982067184245,4.373563265867069,17.0,Ctot
01N0518,-205.9692270985868,0.7933367664640176,0.08,-16.825764878482687,0.7311050319456168,,1.564828709227146,1.4836196523849197,9.0,Ctot
01N0519,-19.779524689254316,0.2625789095781414,0.09,61.02464780606772,5.743333298769423,0.9508956782872388,1.8435971595185816,0.2786715034691589,14.0,Ctot
01N0520,74.7997734565549,0.1754555995247255,0.08,-121.98585583642112,0.8962486679365245,,2.0445506841392307,2.322263666678659,8.0,Ctot
01N0521,126.25680427348853,0.3050919049072133,0.09,-159.06016415234967,1.0753781531889204,5.903958109839058e-33,3.205951196987558,1.5226607764003168,13.0,Ctot
01N0522,-7.606554468686728,1.6072927854289216,0.06,9.999997094074454,5.984702062073042,0.0730560170148365,31.659358292523006,17.577505753920068,10.0,Ctot
01N0523,20.95893882079299,10.071134169640652,0.04,41.236754144338526,1.408001501787621,0.09154919158469572,42.56422663819726,35.334312091514,15.0,Ctot
01N0524,22.007054260171255,4.539908435192159,0.2,245.62467636273016,0.024411759754941226,0.08435053388952878,15.465269757765219,3.069117534061415,11.0,Ctot
01N0525,80.132927504107,0.6853019915963291,0.05,-148.22958648187458,4.357508926126685,,33.970897930533475,10.479675886171405,17.0,Ctot
01N0526,9.193827083733902,6.645215312056875,0.13,53.688360944551604,0.03590074363289239,0.09694936192519059,23.33129401423372,4.978549326149386,10.0,Ctot
01N0527,59.29340067354942,5.210737886027357,0.09,64.10536072296507,1.767500506030423,0.0566258771451023,23.21479772656212,8.707461426072424,15.0,Ctot
01N0528,29.09031691169574,9.700255505097852,0.09,53.17526999099759,1.7094631744421958,0.05775757836361641,38.5258165991337,15.13092237258427,11.0,Ctot
01N0529,44.624198828076295,7.456527462634142,0.41,307.39354667765883,0.2735443115699023,0.07084323537889356,36.47844709864139,4.375000128376355,14.0,Ctot
01N0530,19.7353751134776,10.188016537530956,0.49,53.32466859490116,0.6833337673296742,0.1559641032040857,37.245801216433414,3.5754655583680686,16.0,Ctot
01N0847,9.570051549947774,1.63,0.06,28.38016486900141,0.08400000000057362,0.9991371897036054,0.041472882706655445,0.03623376623889134,7.0,Ctot
