profile_name,failcode,reason
SRS 1,-3,No available layers
SRS 2,-3,No available layers
SRS 3,-3,No available layers
SRS 4,-3,No available layers
00P0038,-3,No available layers
00P0040,-3,No available layers
00P0269,-2,Less than 3 layers (in zstarfunc)
00P0270,-2,Less than 3 layers (in zstarfunc)
00P0271,-2,Less than 3 layers (in zstarfunc)
00P0445,-2,Less than 3 layers (in zstarfunc)
00P0508,-2,Less than 3 layers (in zstarfunc)
00P0683,-2,Less than 3 layers (in zstarfunc)
00P0962,-2,Less than 3 layers (in zstarfunc)
00P0970,-2,Less than 3 layers (in zstarfunc)
00P0971,-2,Less than 3 layers (in zstarfunc)
00P0972,-2,Less than 3 layers (in zstarfunc)
00P0976,-2,Less than 3 layers (in zstarfunc)
01KY-075-001,-3,No available layers
01KY-075-003,-3,No available layers
01N0726,-3,No available layers
01N0727,-3,No available layers
01N0728,-3,No available layers
01N0729,-3,No available layers
01N0730,-3,No available layers
01N0731,-3,No available layers
01N0732,-3,No available layers
01N0733,-3,No available layers
01N0734,-3,No available layers
01N0735,-3,No available layers
01N0736,-3,No available layers
01N0737,-3,No available layers
01N0738,-3,No available layers
01N0739,-3,No available layers
01N0740,-3,No available layers
01N0741,-3,No available layers
01N0742,-3,No available layers
01N0744,-3,No available layers
01N0745,-3,No available layers
01N0746,-3,No available layers
01N0749,-3,No available layers
01N0750,-3,No available layers
01N0752,-3,No available layers
01N0754,-3,No available layers
01N0755,-3,No available layers
01N0756,-3,No available layers
01N0757,-3,No available layers
01N0759,-3,No available layers
01N0761,-3,No available layers
01N0764,-3,No available layers
01N0765,-3,No available layers
01N0766,-3,No available layers
01N0768,-3,No available layers
01N0770,-3,No available layers
01N0771,-3,No available layers
01N0774,-3,No available layers
01N0775,-3,No available layers
01N0778,-3,No available layers
01N0894,-2,Less than 3 layers (in zstarfunc)
01N1206,-3,No available layers
01N1207,-3,No available layers
01N1208,-3,No available layers
01N1213,-1,No mineral soil
01P0360,-2,Less than 3 layers (in zstarfunc)
01P0362,-2,Less than 3 layers (in zstarfunc)
02N0160,-2,Less than 3 layers (in zstarfunc)
02N0197,-3,No available layers
02N0198,-3,No available layers
02N0317,-3,No available layers
02N0320,-3,No available layers
02N0321,-3,No available layers
02N0322,-3,No available layers
02N0323,-3,No available layers
02N0326,-3,No available layers
02N0327,-3,No available layers
02N0328,-3,No available layers
02N0329,-3,No available layers
03N0421,-2,Less than 3 layers (in zstarfunc)
03N0423,-3,No available layers
03N0424,-3,No available layers
03N0425,-3,No available layers
03N0426,-3,No available layers
03N0427,-3,No available layers
03N0428,-3,No available layers
03N0454,-2,Less than 3 layers (in zstarfunc)
03N0790,-2,Less than 3 layers (in zstarfunc)
03N0793,-2,Less than 3 layers (in zstarfunc)
03N1031,-2,Less than 3 layers (in zstarfunc)
03PS02,-3,No available layers
04KY-025-UK3,-3,No available layers
05N0107,-3,No available layers
05N0386,-2,Less than 3 layers (in zstarfunc)
05N0387,-2,Less than 3 layers (in zstarfunc)
05N0388,-2,Less than 3 layers (in zstarfunc)
05N0389,-2,Less than 3 layers (in zstarfunc)
05N0390,-2,Less than 3 layers (in zstarfunc)
05N0391,-2,Less than 3 layers (in zstarfunc)
05N0805,-2,Less than 3 layers (in zstarfunc)
05N0886,-3,No available layers
06N0684,-3,No available layers
06N0687,-2,Less than 3 layers (in zstarfunc)
06N0688,-2,Less than 3 layers (in zstarfunc)
06N0689,-2,Less than 3 layers (in zstarfunc)
06N0690,-2,Less than 3 layers (in zstarfunc)
06N0691,-2,Less than 3 layers (in zstarfunc)
06N0692,-2,Less than 3 layers (in zstarfunc)
06N0693,-2,Less than 3 layers (in zstarfunc)
06N0695,-2,Less than 3 layers (in zstarfunc)
06N0696,-2,Less than 3 layers (in zstarfunc)
06N0697,-2,Less than 3 layers (in zstarfunc)
06N1107,-3,No available layers
07KY-033-001,-3,No available layers
07KY-033-002,-3,No available layers
07KY-033-003,-3,No available layers
07KY-047-001,-3,No available layers
07KY-047-002,-3,No available layers
07KY-055-001,-3,No available layers
07KY-055-002,-3,No available layers
07KY-055-003,-3,No available layers
07KY-107-001,-3,No available layers
07N0213,-2,Less than 3 layers (in zstarfunc)
07N0214,-2,Less than 3 layers (in zstarfunc)
07N0221,-2,Less than 3 layers (in zstarfunc)
07N0223,-2,Less than 3 layers (in zstarfunc)
07N0281,-3,No available layers
07N0282,-3,No available layers
08KS175106,-2,Less than 3 layers (in zstarfunc)
08KS175308,-2,Less than 3 layers (in zstarfunc)
08KS175320,-2,Less than 3 layers (in zstarfunc)
08KS187341,-2,Less than 3 layers (in zstarfunc)
08KS187359,-2,Less than 3 layers (in zstarfunc)
08KY-039-001,-3,No available layers
08KY-039-002,-3,No available layers
08KY-039-003,-3,No available layers
08KY-105-002,-3,No available layers
08KY-105-003,-3,No available layers
08N0179,-2,Less than 3 layers (in zstarfunc)
08N0269,-2,Less than 3 layers (in zstarfunc)
08N0429,-2,Less than 3 layers (in zstarfunc)
08N0537,-2,Less than 3 layers (in zstarfunc)
08N0539,-2,Less than 3 layers (in zstarfunc)
08N0540,-2,Less than 3 layers (in zstarfunc)
08N0541,-2,Less than 3 layers (in zstarfunc)
08N0542,-2,Less than 3 layers (in zstarfunc)
08N0543,-2,Less than 3 layers (in zstarfunc)
08N0544,-2,Less than 3 layers (in zstarfunc)
09KY-047-035,-3,No available layers
09KY-105-001,-3,No available layers
09KY-105-002,-3,No available layers
09N0310,-2,Less than 3 layers (in zstarfunc)
09N0312,-3,No available layers
09N0314,-2,Less than 3 layers (in zstarfunc)
09N0315,-2,Less than 3 layers (in zstarfunc)
09N0317,-2,Less than 3 layers (in zstarfunc)
09N0318,-2,Less than 3 layers (in zstarfunc)
10KY-107-001,-3,No available layers
10KY-125-001,-3,No available layers
10KY-125-002,-3,No available layers
10KY-125-003,-3,No available layers
10KY-125-004,-3,No available layers
10KY-125-005,-3,No available layers
10KY-125-006,-3,No available layers
10KY-125-007,-3,No available layers
10KY-125-008,-3,No available layers
10N0570,-2,Less than 3 layers (in zstarfunc)
10N0993,-2,Less than 3 layers (in zstarfunc)
11N0002,-2,Less than 3 layers (in zstarfunc)
11N14335,-1,No mineral soil
11N14413,-1,No mineral soil
11N14477,-1,No mineral soil
11N14479,-1,No mineral soil
11N14482,-1,No mineral soil
11N6796,-1,No mineral soil
11N6800,-1,No mineral soil
11N6801,-1,No mineral soil
11N6806,-1,No mineral soil
11N6817,-1,No mineral soil
11N6827,-1,No mineral soil
11N6830,-1,No mineral soil
11N6843,-1,No mineral soil
11N6848,-2,Less than 3 layers (in zstarfunc)
11N6850,-1,No mineral soil
11N6860,-1,No mineral soil
11N6865,-1,No mineral soil
11N7947,-1,No mineral soil
11N7953,-1,No mineral soil
11N7958,-1,No mineral soil
11N7960,-2,Less than 3 layers (in zstarfunc)
11N8398,-1,No mineral soil
11N8403,-1,No mineral soil
11N8429,-2,Less than 3 layers (in zstarfunc)
12N7782,-2,Less than 3 layers (in zstarfunc)
12N7858,-2,Less than 3 layers (in zstarfunc)
40A0556,-3,No available layers
40A0557,-3,No available layers
40A0752,-3,No available layers
40A0807,-3,No available layers
40A1145,-3,No available layers
40A1326,-3,No available layers
40A1327,-3,No available layers
40A1331,-3,No available layers
40A1332,-3,No available layers
40A1336,-3,No available layers
40A1339,-3,No available layers
40A1340,-3,No available layers
40A1341,-3,No available layers
40A1342,-3,No available layers
40A1343,-3,No available layers
40A1346,-3,No available layers
40A1347,-3,No available layers
40A1358,-3,No available layers
40A1359,-3,No available layers
40A1360,-3,No available layers
40A1361,-3,No available layers
40A1362,-3,No available layers
40A1363,-3,No available layers
40A1364,-3,No available layers
40A1365,-3,No available layers
40A1366,-3,No available layers
40A1367,-3,No available layers
40A1368,-3,No available layers
40A1369,-3,No available layers
40A1370,-3,No available layers
40A2670,-3,No available layers
40A2674,-3,No available layers
40A2680,-3,No available layers
40A2681,-3,No available layers
40A2885,-3,No available layers
40A2917,-3,No available layers
40A2967,-3,No available layers
40A2995,-3,No available layers
40A2996,-3,No available layers
40A2997,-3,No available layers
40A3008,-3,No available layers
40A3043,-3,No available layers
40A3216,-2,Less than 3 layers (in zstarfunc)
40A3349,-3,No available layers
40A3350,-3,No available layers
40A3359,-3,No available layers
40A3373,-3,No available layers
40A3377,-3,No available layers
40A3413,-3,No available layers
40A3588,-3,No available layers
40A3606,-3,No available layers
40A3607,-3,No available layers
40A3609,-3,No available layers
40A3978,-3,No available layers
40A3992,-3,No available layers
40A3993,-3,No available layers
40A3994,-3,No available layers
40A3996,-3,No available layers
40A3997,-3,No available layers
40A3998,-3,No available layers
40A3999,-2,Less than 3 layers (in zstarfunc)
40A4001,-3,No available layers
40A4002,-3,No available layers
40A4054,-3,No available layers
40A4082,-3,No available layers
40A4083,-3,No available layers
40A4084,-1,No mineral soil
40A4087,-3,No available layers
40A4088,-2,Less than 3 layers (in zstarfunc)
40A4089,-1,No mineral soil
40A4090,-3,No available layers
40A4091,-3,No available layers
40A4096,-3,No available layers
40A4097,-2,Less than 3 layers (in zstarfunc)
40A4100,-3,No available layers
40A4104,-3,No available layers
40A4105,-3,No available layers
40A4107,-3,No available layers
40A4118,-3,No available layers
40A4149,-3,No available layers
40A4150,-3,No available layers
40A4161,-3,No available layers
40A4253,-1,No mineral soil
40A4525,-3,No available layers
40A4526,-3,No available layers
40A4592,-3,No available layers
40A4593,-3,No available layers
40A4594,-3,No available layers
40A4595,-3,No available layers
40A4598,-3,No available layers
40A4599,-3,No available layers
40A4600,-3,No available layers
40A4601,-3,No available layers
40A4607,-3,No available layers
40A4609,-3,No available layers
40A4614,-3,No available layers
40A4615,-3,No available layers
40A4618,-3,No available layers
40A4619,-3,No available layers
40A4620,-3,No available layers
40A4622,-3,No available layers
40A4623,-3,No available layers
40A4624,-3,No available layers
40A4625,-3,No available layers
40A4626,-3,No available layers
40A4635,-3,No available layers
40A4636,-3,No available layers
40A4637,-3,No available layers
40A4638,-3,No available layers
40A4639,-3,No available layers
40A4640,-3,No available layers
40A4641,-3,No available layers
40A4642,-3,No available layers
40A4643,-3,No available layers
40A4644,-3,No available layers
40A4645,-3,No available layers
40A4646,-3,No available layers
40A4670,-3,No available layers
40A4671,-3,No available layers
40A4674,-3,No available layers
40A4677,-3,No available layers
40A4679,-3,No available layers
40A4685,-3,No available layers
40A4686,-3,No available layers
40A4687,-3,No available layers
40A4688,-3,No available layers
40A4689,-3,No available layers
40A4690,-3,No available layers
40A4749,-3,No available layers
40A4751,-3,No available layers
40A4753,-3,No available layers
40A4754,-3,No available layers
40A4755,-3,No available layers
40A4756,-3,No available layers
40A5224,-3,No available layers
40A5225,-3,No available layers
40A5226,-3,No available layers
40A5228,-3,No available layers
56PS03,-3,No available layers
58BR26,-3,No available layers
58BR27,-3,No available layers
58BR28,-3,No available layers
58BR29,-3,No available layers
58BR30,-3,No available layers
58BR32,-3,No available layers
58KY-177-001,-3,No available layers
59DS01,-3,No available layers
59DS02,-3,No available layers
59DS06,-3,No available layers
59DS09,-3,No available layers
59DS10,-3,No available layers
59JH02,-3,No available layers
59LE23,-2,Less than 3 layers (in zstarfunc)
59LE28,-2,Less than 3 layers (in zstarfunc)
59MS16,-3,No available layers
59WS02,-2,Less than 3 layers (in zstarfunc)
60ID18,-3,No available layers
61HP05,-3,No available layers
61HP13,-3,No available layers
61ID02,-3,No available layers
61ID08,-2,Less than 3 layers (in zstarfunc)
61ID09,-2,Less than 3 layers (in zstarfunc)
61ID11,-3,No available layers
61JA05,-2,Less than 3 layers (in zstarfunc)
61KY-085-001,-3,No available layers
